ano,sigla_uf,id_municipio,rede,tipo_localizacao,quantidade_alunos_inse,inse,percentual_nivel_1,percentual_nivel_2,percentual_nivel_3,percentual_nivel_4,percentual_nivel_5,percentual_nivel_6,percentual_nivel_7,percentual_nivel_8
2019,RO,1100080,2,2,75,4.7315,0,16.91,20.07,21.24,34.95,1.36,4.12,1.36
2019,RO,1100080,3,0,252,4.8144,0,11.48,23.14,29.46,19.72,9.34,5.29,1.57
2019,RO,1100080,3,2,126,4.8957,0,8.12,23.18,32.63,18.27,9,5.85,2.96
2019,RO,1100080,5,0,534,4.7081,0.16,16.44,22.86,27.15,21.23,7.24,3.98,0.93
2019,RO,1100080,5,2,201,4.8366,0,11.29,22.06,28.53,24.27,6.25,5.23,2.38
2019,RO,1100080,6,0,534,4.7081,0.16,16.44,22.86,27.15,21.23,7.24,3.98,0.93
2019,RO,1100080,6,2,201,4.8366,0,11.29,22.06,28.53,24.27,6.25,5.23,2.38
2019,RO,1100098,0,0,1132,4.6884,0.19,14.97,26.25,26.95,19.77,7.97,3.74,0.16
2019,RO,1100098,0,1,1013,4.7007,0.21,14.92,25.95,26.25,20.02,8.41,4.05,0.18
2019,RO,1100098,2,0,790,4.7208,0.27,14.27,24.64,27.45,20.86,8.07,4.2,0.24
2019,RO,1100098,2,1,790,4.7208,0.27,14.27,24.64,27.45,20.86,8.07,4.2,0.24
2019,RO,1100098,5,0,1132,4.6884,0.19,14.97,26.25,26.95,19.77,7.97,3.74,0.16
2019,RO,1100098,5,1,1013,4.7007,0.21,14.92,25.95,26.25,20.02,8.41,4.05,0.18
2019,RO,1100098,6,0,1132,4.6884,0.19,14.97,26.25,26.95,19.77,7.97,3.74,0.16
2019,RO,1100098,6,1,1013,4.7007,0.21,14.92,25.95,26.25,20.02,8.41,4.05,0.18
2019,RO,1100106,0,0,1467,4.6841,0.48,20.13,24.44,21.01,17.72,9.86,5.99,0.37
2019,RO,1100106,0,1,1467,4.6841,0.48,20.13,24.44,21.01,17.72,9.86,5.99,0.37
2019,RO,1100106,2,0,920,4.6599,0.54,20.37,25.79,20.32,18,9.17,5.51,0.3
2019,RO,1100106,2,1,920,4.6599,0.54,20.37,25.79,20.32,18,9.17,5.51,0.3
2019,RO,1100106,3,0,481,4.6585,0.43,22.62,22.97,21.6,15.97,9.39,6.39,0.63
2019,RO,1100106,3,1,481,4.6585,0.43,22.62,22.97,21.6,15.97,9.39,6.39,0.63
2019,RO,1100106,5,0,1401,4.6595,0.51,21.03,24.96,20.69,17.41,9.24,5.77,0.4
2019,RO,1100106,5,1,1401,4.6595,0.51,21.03,24.96,20.69,17.41,9.24,5.77,0.4
2019,RO,1100106,6,0,1467,4.6841,0.48,20.13,24.44,21.01,17.72,9.86,5.99,0.37
2019,RO,1100106,6,1,1467,4.6841,0.48,20.13,24.44,21.01,17.72,9.86,5.99,0.37
2019,RO,1100114,0,0,2017,4.6646,0.34,18.92,22.52,27.41,17.68,8.31,4.57,0.25
2019,RO,1100114,0,1,1908,4.6703,0.3,18.93,22.39,27.11,17.88,8.53,4.59,0.26
2019,RO,1100114,2,0,1519,4.6714,0.31,18.74,22.29,27.37,17.66,8.66,4.78,0.19
2019,RO,1100114,2,1,1519,4.6714,0.31,18.74,22.29,27.37,17.66,8.66,4.78,0.19
2019,RO,1100114,3,0,498,4.6426,0.42,19.5,23.25,27.53,17.74,7.21,3.9,0.44
2019,RO,1100114,3,1,389,4.6655,0.27,19.71,22.79,26.04,18.8,8,3.81,0.56
2019,RO,1100114,5,0,2017,4.6646,0.34,18.92,22.52,27.41,17.68,8.31,4.57,0.25
2019,RO,1100114,5,1,1908,4.6703,0.3,18.93,22.39,27.11,17.88,8.53,4.59,0.26
2019,RO,1100114,6,0,2017,4.6646,0.34,18.92,22.52,27.41,17.68,8.31,4.57,0.25
2019,RO,1100114,6,1,1908,4.6703,0.3,18.93,22.39,27.11,17.88,8.53,4.59,0.26
2019,RO,1100122,0,0,3957,4.8278,0.29,13.59,21.79,25.38,19.55,11.92,6.81,0.68
2019,RO,1100122,0,1,3725,4.83,0.31,13.73,21.86,25.03,19.28,11.98,7.09,0.72
2019,RO,1100122,2,0,3212,4.8182,0.36,14.3,21.88,25.21,18.59,11.86,7.09,0.72
2019,RO,1100122,2,1,3212,4.8182,0.36,14.3,21.88,25.21,18.59,11.86,7.09,0.72
2019,RO,1100122,3,0,745,4.8691,0,10.53,21.37,26.14,23.7,12.19,5.56,0.51
2019,RO,1100122,3,1,513,4.9035,0,10.19,21.71,23.94,23.62,12.76,7.05,0.73
2019,RO,1100122,5,0,3957,4.8278,0.29,13.59,21.79,25.38,19.55,11.92,6.81,0.68
2019,RO,1100122,5,1,3725,4.83,0.31,13.73,21.86,25.03,19.28,11.98,7.09,0.72
2019,RO,1100122,6,0,3957,4.8278,0.29,13.59,21.79,25.38,19.55,11.92,6.81,0.68
2019,RO,1100122,6,1,3725,4.83,0.31,13.73,21.86,25.03,19.28,11.98,7.09,0.72
2019,RO,1100130,0,0,1238,4.4911,0.52,23.55,31.28,23.07,12.7,6.02,2.6,0.25
2019,RO,1100130,0,1,1055,4.4966,0.61,24.03,30.13,22.9,12.98,6.45,2.61,0.29
2019,RO,1100130,2,0,640,4.4975,0.8,25.04,28.64,22.19,13.31,6.96,2.77,0.28
2019,RO,1100130,2,1,640,4.4975,0.8,25.04,28.64,22.19,13.31,6.96,2.77,0.28
2019,RO,1100130,3,0,598,4.4833,0.18,21.75,34.51,24.15,11.96,4.87,2.39,0.2
2019,RO,1100130,3,1,415,4.495,0.26,22.22,32.81,24.17,12.39,5.53,2.33,0.3
2019,RO,1100130,5,0,1238,4.4911,0.52,23.55,31.28,23.07,12.7,6.02,2.6,0.25
2019,RO,1100130,5,1,1055,4.4966,0.61,24.03,30.13,22.9,12.98,6.45,2.61,0.29
2019,RO,1100130,6,0,1238,4.4911,0.52,23.55,31.28,23.07,12.7,6.02,2.6,0.25
2019,RO,1100130,6,1,1055,4.4966,0.61,24.03,30.13,22.9,12.98,6.45,2.61,0.29
2019,RO,1100148,0,0,608,4.6269,0,21.79,22.95,25.85,16.37,8.94,3.94,0.15
2019,RO,1100148,0,1,486,4.7183,0,17.9,21.92,26.39,17.97,10.93,4.7,0.19
2019,RO,1100148,3,0,299,4.5331,0,25.93,23.99,26.24,12.51,7.42,3.6,0.31
2019,RO,1100148,3,1,177,4.724,0,17.88,21.84,28,14.34,11.95,5.47,0.52
2019,RO,1100148,5,0,608,4.6269,0,21.79,22.95,25.85,16.37,8.94,3.94,0.15
2019,RO,1100148,5,1,486,4.7183,0,17.9,21.92,26.39,17.97,10.93,4.7,0.19
