sk_municipio,sk_tempo,sk_rede,despesa_liquidada_educacao,desp_liq_fundamental,desp_liq_infantil,despesa_empenhada_educacao,desp_emp_fundamental,desp_emp_infantil,mat_creche,mat_pre_escola,mat_anos_iniciais,mat_anos_finais,mat_especial_classes_comuns,docentes_iniciais,docentes_finais,turmas_iniciais,turmas_finais,escolas_creche,escolas_pre_escola,escolas_iniciais,escolas_finais,ideb_iniciais,ideb_meta_iniciais,rendimento_iniciais,saeb_mat_iniciais,saeb_lp_iniciais,saeb_nota_iniciais,ideb_finais,ideb_meta_finais,rendimento_finais,saeb_mat_finais,saeb_lp_finais,saeb_nota_finais,inse_score,inse_classificacao,qtd_alunos_inse
3529005,2015,3,139676257.3,49095482.05,56061590.35,143468268.36,51267569.0,57102520.48,4846,4685,7846,0,195,374,2,335,2,34,28,19,0,6.9,6.6,0.976908,256.47,230.27,7.045246,,,,,,,,,
3533700,2015,2,,,,,,,0,0,0,218,0,0,0,0,0,0,0,0,1,,5.7,,,,,4.9,5.5,0.988361,250.22,246.8,4.950333,,,
3533700,2015,3,,,,,,,151,119,303,0,3,16,0,12,0,1,1,1,0,7.4,5.8,0.972637,275.78,239.06,7.573575,,,,,,,,,
3534005,2015,2,,,,,,,0,0,0,233,0,0,0,0,0,0,0,0,1,,,,,,,5.3,5.7,0.982364,263.97,259.13,5.385,,,
3534005,2015,3,4747017.71,3191634.39,1483655.63,4747017.71,3191634.39,1483655.63,74,81,303,0,7,22,0,16,0,1,1,1,0,6.7,6.2,1.0,245.98,222.86,6.710328,,,,,,,,,
3534708,2015,2,,,,,,,0,0,592,3367,0,0,0,0,0,0,0,4,12,6.6,5.5,0.968339,251.16,220.96,6.774637,5.0,5.3,0.94463,262.07,256.09,5.302667,,,
3534708,2015,3,73216262.32,59621561.65,11971518.45,73619686.68,59635299.17,12361205.29,1255,2292,5129,1589,266,324,96,225,64,16,23,12,3,6.4,6.1,0.951741,245.66,224.55,6.734948,5.0,5.6,0.908798,270.05,262.48,5.542167,,,
3540002,2015,2,,,,,,,0,0,0,797,0,0,0,0,0,0,0,0,2,,,,,,,4.6,5.7,0.975042,246.42,235.11,4.692167,,,
3540002,2015,3,14433205.29,6759890.1,6102098.17,19154286.39,9879607.42,7703197.95,349,409,969,0,19,52,0,47,0,3,3,3,0,7.4,6.5,0.994481,266.08,240.13,7.407915,,,,,,,,,
3541406,2015,2,,,,,,,31,6,5,7915,0,0,0,0,0,1,1,1,25,,6.5,,,,,4.5,5.1,0.911826,251.86,243.87,4.928833,,,
3541406,2015,3,132707639.81,69867385.55,52727528.1,134882671.65,71174764.9,53595180.59,3653,3574,9330,0,208,352,3,350,3,32,32,31,0,6.4,5.9,0.96967,240.14,222.9,6.599604,,,,,,,,,
3541703,2015,2,,,,,,,0,0,0,508,0,0,0,0,0,0,0,0,1,,,,,,,4.7,4.6,0.91901,254.56,249.59,5.069167,,,
3541703,2015,3,,,,,,,284,315,704,0,21,48,0,31,0,2,5,3,0,5.7,6.1,0.993988,216.34,200.9,5.745406,,,,,,,,,
3543907,2015,2,,,,,,,0,0,258,6124,0,0,0,0,0,0,0,2,18,7.2,6.0,0.991736,268.55,230.42,7.278507,4.3,5.8,0.932519,243.21,236.49,4.661667,,,
3543907,2015,3,123710914.29,68946096.64,44947195.08,124902983.3,69518550.81,45468304.95,3688,3891,9986,140,315,514,31,415,13,37,24,25,1,6.6,6.4,0.96839,243.65,231.83,6.828953,,,,,,,,,
3548906,2015,2,,,,,,,37,27,6152,7662,0,0,0,0,0,1,1,16,23,7.2,6.6,0.996791,255.62,238.3,7.175024,5.1,5.5,0.964818,261.02,257.75,5.312833,,,
3548906,2015,3,126415178.96,49303182.49,71083353.0,132148991.69,52146032.31,73711089.13,4142,4314,4840,668,208,263,63,191,27,46,32,8,2,6.5,6.0,0.959255,243.28,228.35,6.758619,5.8,5.7,0.985491,277.28,277.8,5.918,,,
3555000,2015,2,,,,,,,0,0,1034,2614,0,0,0,0,0,0,0,6,6,6.6,6.4,0.984293,247.41,222.27,6.72689,4.8,5.1,0.933643,257.98,248.63,5.110167,,,
3555000,2015,3,31698195.33,19272071.14,9593032.6,32677583.47,20079040.65,9762998.23,807,955,1854,0,40,123,7,94,3,7,13,8,0,6.1,6.2,0.988712,230.91,208.44,6.16055,,,,,,,,,
3556602,2015,2,,,,,,,0,0,0,502,0,0,0,0,0,0,0,0,2,,,,,,,5.1,5.9,0.981412,260.13,253.8,5.232167,,,
3556602,2015,3,,,,,,,171,229,610,0,13,33,0,30,0,3,2,2,0,6.3,5.7,0.962092,239.82,221.45,6.567134,,,,,,,,,
3501400,2016,2,,,,,,,0,0,0,171,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
3501400,2016,3,,,,,,,0,98,279,0,6,15,0,13,0,0,1,1,0,,,,,,,,,,,,,,,
3501509,2016,2,,,,,,,0,0,0,173,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
3501509,2016,3,4373569.02,2584966.34,1561762.4,4373569.02,2584966.34,1561762.4,122,89,267,0,11,18,0,12,0,1,1,1,0,,,,,,,,,,,,,,,
3502804,2016,2,,,,,,,21,4,6,6142,0,0,0,0,0,1,1,2,24,,,,,,,,,,,,,,,
3502804,2016,3,128156538.19,64117752.59,46909913.87,130038501.46,64688274.87,48061775.12,3506,3390,8157,0,254,351,7,334,6,39,38,28,0,,,,,,,,,,,,,,,
3503208,2016,2,,,,,,,38,0,5349,5549,0,0,0,0,0,1,0,13,19,,,,,,,,,,,,,,,
3503208,2016,3,180490277.51,89447553.62,73433069.91,182812863.93,91039945.32,74093088.5,5382,4438,4514,2620,398,266,159,198,105,40,40,14,11,,,,,,,,,,,,,,,
3504008,2016,2,,,,,,,15,0,0,3872,0,0,0,0,0,1,0,0,12,,,,,,,,,,,,,,,
3504008,2016,3,221098086.42,109684370.22,52013384.07,226235615.37,110877891.09,52159238.52,2149,1948,5039,0,106,325,0,208,0,15,17,19,0,,,,,,,,,,,,,,,
3506003,2016,2,,,,,,,35,0,9690,12498,0,0,0,0,0,1,0,30,38,,,,,,,,,,,,,,,
3506003,2016,3,172335635.82,68166706.56,81883769.62,174663701.71,69205702.25,83084137.19,4506,5293,6973,1376,359,327,86,266,52,64,63,16,5,,,,,,,,,,,,,,,
3507506,2016,2,,,,,,,85,0,1,3784,0,0,0,0,0,2,0,1,14,,,,,,,,,,,,,,,
